pix_x,pix_y,kac_x,kac_y,world_z
592,194,0.22686078827974976,-0.03997747537074303,0.12
591,201,0.5586418628185136,-0.012040414686933731,0.12
587,211,0.8772397032366642,-0.025117917912379717,0.12
576,218,1.1940781698511662,-0.09134195166785797,0.12
567,231,1.6554849328920824,-0.15704173389628584,0.12
572,247,2.0924617810086623,-0.11422272416133805,0.12
555,267,2.7408228646524746,-0.08589086771158028,0.12
532,297,3.471297185381186,-0.23864610248034035,0.12
524,325,3.9784972757449544,-0.26242354263048984,0.12
474,339,4.454299933231352,-0.46311073842725925,0.12
439,369,4.988905234791383,-0.6977778582353916,0.12
536,440,5.431669861795747,-0.05557576925948954,0.12
377,437,6.058321230466283,-0.6947809682376727,0.12
268,443,6.369503207547118,-1.3111001519848697,0.12
153,429,6.579996057422163,-2.072852568821183,0.12
131,368,6.344204005725351,-2.7257476830065395,0.12
197,354,5.928607899392539,-2.614578558947963,0.12
261,357,5.67903943835904,-2.159895938356925,0.12
326,347,5.419720769028123,-1.6750355417794398,0.12
314,308,4.860288861074931,-1.8554307815526065,0.12
291,272,4.388424793928846,-2.4280431251524135,0.12
297,250,3.925695984190609,-2.654267736907006,0.12
330,245,3.600649290052119,-2.5580080771070692,0.12
354,233,3.1880097858382945,-2.3143732152295784,0.12
326,213,2.692496916236932,-2.735520116314368,0.12
355,197,2.0500586745517007,-2.866837342693617,0.12
370,180,1.3310914684963024,-2.7905744131129318,0.12
390,170,0.7411882654666764,-2.880701340815543,0.12
465,186,0.8835058047658075,-1.712321585839301,0.12
508,207,1.4301050406611309,-1.0390108863398773,0.12
519,202,1.0907748704166753,-0.6504313829233273,0.12
484,193,0.9792900109545659,-1.119685299382304,0.12
452,202,1.652990993235607,-1.5145604490569347,0.12
377,194,1.8122772088037378,-2.5343351179536464,0.12
390,173,0.8871243948049639,-2.7809190849620444,0.12
532,212,1.4283970061564604,-0.761410262269904,0.12
599,215,1.3228073259342055,0.041583453016107774,0.12
591,198,0.7424805965637462,-0.01806000245865702,0.12
559,242,2.0572937100252027,-0.15730460714749583,0.12
224,391,5.979700866613453,-1.8977806195136577,0.12
